x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1.0,2.0,3.0,14:08:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.431086467821338,50,1000000,2
1.0,2.0,3.0,14:08:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.15467083464403,49,1000000,2
1.0,2.0,3.0,14:08:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.444078779034683,573,1000000,323
1.0,2.0,3.0,14:08:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.854950216611158,573,1000000,323
1.0,2.0,3.0,14:08:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.6311607669593,348,1000000,121
1.0,2.0,3.0,14:08:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.69974301073065,144,1000000,21
1.0,2.0,3.0,14:08:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.329518111497393,382,1000000,144
1.0,2.0,3.0,14:08:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.407772456190195,73,1000000,5
1.0,2.0,3.0,14:08:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.75737578323836,1376,1000000,1890
1.0,2.0,3.0,14:08:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.870906265258213,689,1000000,474
1.0,2.0,3.0,14:08:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.434855209635167,1173,1000000,1364
1.0,2.0,3.0,14:08:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.24922369420952,411,1000000,168
1.0,2.0,3.0,14:08:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.35436087924053,280,1000000,78
1.0,2.0,3.0,14:08:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.354667926004698,1635,230468,11599
1.0,2.0,3.0,14:08:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.441539132517512,605,1000000,372
1.0,2.0,3.0,14:08:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.670039011570736,107,1000000,11
1.0,2.0,3.0,14:08:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.733631319317972,107,1000000,11
1.0,2.0,3.0,14:08:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.468040005405243,530,1000000,281
1.0,2.0,3.0,14:08:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.907218183622966,123,1000000,15
1.0,2.0,3.0,14:08:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.14343810858861,123,1000000,15
1.0,2.0,3.0,14:08:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.334263951141203,610,1000000,364
1.0,2.0,3.0,14:08:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.98166385377807,266,1000000,70
1.0,2.0,3.0,14:08:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.131018534630073,266,1000000,70
1.0,2.0,3.0,14:08:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.07765954511398,663,1000000,439
1.0,2.0,3.0,14:08:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.12999423334844,463,1000000,213
1.0,2.0,3.0,14:08:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.7922185145368,463,1000000,213
1.0,2.0,3.0,14:08:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.229948518202193,360,1000000,130
1.0,2.0,3.0,14:08:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-36.01926763992711,275,1000000,76
1.0,2.0,3.0,14:08:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.228016536366724,279,1000000,76
1.0,2.0,3.0,14:08:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.85144005127234,279,1000000,76
1.0,2.0,3.0,14:08:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-39.969438732409216,161,1000000,26
1.0,2.0,3.0,14:08:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.79490964225588,162,1000000,26
1.0,2.0,3.0,14:08:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.893736872366148,443,1000000,198
1.0,2.0,3.0,14:08:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-40.88800184844587,90,1000000,8
1.0,2.0,3.0,14:08:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.4497526446754,91,1000000,8
1.0,2.0,3.0,14:08:47,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.498824104312234,91,1000000,8
1.0,2.0,3.0,14:08:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.069230824753205,519,1000000,271
1.0,2.0,3.0,14:08:49,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.752268905501374,528,1000000,278
1.0,2.0,3.0,14:08:50,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-31.314951533434716,623,1000000,389
1.0,2.0,3.0,14:08:51,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.015692509845607,623,1000000,389
1.0,2.0,3.0,14:08:52,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.963544951137337,1649,976562,2784
1.0,2.0,3.0,14:08:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.28401119857204,1189,1000000,1420
1.0,2.0,3.0,14:08:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.841255812764686,1189,1000000,1420
1.0,2.0,3.0,14:08:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.13007200404521,311,1000000,96
1.0,2.0,3.0,14:08:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.423575656302432,58,1000000,3
1.0,2.0,3.0,14:08:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-36.128247477253694,58,1000000,3
1.0,2.0,3.0,14:08:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.020595065768802,196,1000000,37
1.0,2.0,3.0,14:08:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.079585499631108,968,1000000,937
1.0,2.0,3.0,14:09:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.017607910200773,968,1000000,937
1.0,2.0,3.0,14:09:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.213833802516078,1167,1000000,1361
1.0,2.0,3.0,14:09:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.630794493728708,477,1000000,230
1.0,2.0,3.0,14:09:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.90904378389888,477,1000000,230
1.0,2.0,3.0,14:09:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.50397427125769,425,1000000,181
1.0,2.0,3.0,14:09:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.696983275604225,55,1000000,3
1.0,2.0,3.0,14:09:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.98043609501243,55,1000000,3
1.0,2.0,3.0,14:09:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.571625502479428,205,1000000,40
1.0,2.0,3.0,14:09:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.405307540345696,205,1000000,40
1.0,2.0,3.0,14:09:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.916320895521757,205,1000000,40
1.0,2.0,3.0,14:09:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.094573789324144,83,1000000,6
1.0,2.0,3.0,14:09:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.988352042989835,603,1000000,366
1.0,2.0,3.0,14:09:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.969538388122665,199,1000000,39
1.0,2.0,3.0,14:09:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.50787524770586,492,1000000,244
1.0,2.0,3.0,14:09:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.51167084412539,492,1000000,244
1.0,2.0,3.0,14:09:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.77294734728109,88,1000000,7
1.0,2.0,3.0,14:09:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.18560014693398,98,1000000,9
1.0,2.0,3.0,14:09:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.744385924960433,98,1000000,9
1.0,2.0,3.0,14:09:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.546515469843087,1641,765625,3517
1.0,2.0,3.0,14:09:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.11082057564858,1561,902343,2690
1.0,2.0,3.0,14:09:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.179887993820735,1561,902343,2690
1.0,2.0,3.0,14:09:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.813835942079663,611,1000000,367
1.0,2.0,3.0,14:09:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.942891957260677,284,1000000,78
1.0,2.0,3.0,14:09:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.966048802481993,284,1000000,78
1.0,2.0,3.0,14:09:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.634840875376,269,1000000,72
1.0,2.0,3.0,14:09:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.931950015078584,64,1000000,4
1.0,2.0,3.0,14:09:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.164151686298517,64,1000000,4
1.0,2.0,3.0,14:09:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.116692785326514,157,1000000,24
1.0,2.0,3.0,14:09:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.10152967664703,1538,1000000,2359
1.0,2.0,3.0,14:09:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.314327387185365,1538,1000000,2359
1.0,2.0,3.0,14:09:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.33712275987304,212,1000000,44
1.0,2.0,3.0,14:09:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.181611363242254,213,1000000,47
1.0,2.0,3.0,14:09:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.64125272226204,213,1000000,47
1.0,2.0,3.0,14:09:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.805195425023655,570,1000000,324
1.0,2.0,3.0,14:09:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.874587175948847,568,1000000,328
1.0,2.0,3.0,14:09:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.908920974661182,195,1000000,36
1.0,2.0,3.0,14:09:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.333309386034948,567,1000000,326
1.0,2.0,3.0,14:09:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.804219994176258,189,1000000,1731
1.0,2.0,3.0,14:09:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.818728856155616,1454,1000000,2117
1.0,2.0,3.0,14:09:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.877783908199888,75,1000000,5
1.0,2.0,3.0,14:09:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.351230933398114,344,1000000,12
1.0,2.0,3.0,14:09:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.416994693054995,382,1000000,148
1.0,2.0,3.0,14:09:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.26807709379927,1633,996093,2670
1.0,2.0,3.0,14:09:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.353140566910653,1633,996093,2670
1.0,2.0,3.0,14:09:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-38.308203837283756,264,1000000,68
1.0,2.0,3.0,14:09:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.712768239998415,914,1000000,839
1.0,2.0,3.0,14:09:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.479655124598352,914,1000000,839
1.0,2.0,3.0,14:09:47,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.618294129000844,592,1000000,354
1.0,2.0,3.0,14:09:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-31.10121926924713,245,1000000,60
1.0,2.0,3.0,14:09:49,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.087191635110315,245,1000000,60
1.0,2.0,3.0,14:09:50,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-31.15867219692663,927,1000000,863
1.0,2.0,3.0,14:09:51,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.25848411455678,1070,1000000,1144
1.0,2.0,3.0,14:09:52,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-34.1707535715645,1070,1000000,1136
1.0,2.0,3.0,14:09:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-34.60086567884045,898,1000000,817
1.0,2.0,3.0,14:09:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.42501037139116,90,1000000,8
1.0,2.0,3.0,14:09:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.659960832479534,197,1000000,38
1.0,2.0,3.0,14:09:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.651900960783365,903,1000000,815
1.0,2.0,3.0,14:09:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.63639405105299,1644,437500,6185
1.0,2.0,3.0,14:09:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.21489865607102,182,796875,37
1.0,2.0,3.0,14:09:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-31.11694412959725,98,1000000,9
1.0,2.0,3.0,14:10:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.554405530871485,620,1000000,384
1.0,2.0,3.0,14:10:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.74810659236485,436,1000000,184
1.0,2.0,3.0,14:10:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-34.09966504295507,1415,1000000,1993
1.0,2.0,3.0,14:10:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.20899680913239,669,1000000,443
1.0,2.0,3.0,14:10:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.762799939933174,407,1000000,164
1.0,2.0,3.0,14:10:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.46129359406583,1111,1000000,1236
1.0,2.0,3.0,14:10:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.626197061549057,1111,1000000,1236
1.0,2.0,3.0,14:10:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-36.53507542331479,132,1000000,16
1.0,2.0,3.0,14:10:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-33.06289972976416,53,1000000,2
1.0,2.0,3.0,14:10:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.682788088714858,1151,1000000,1329
1.0,2.0,3.0,14:10:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.136990269807416,314,1000000,97
1.0,2.0,3.0,14:10:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.20221069148551,1443,1000000,2088
1.0,2.0,3.0,14:10:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.98387320133996,1443,1000000,2088
1.0,2.0,3.0,14:10:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.9301691324999,1443,1000000,2088
1.0,2.0,3.0,14:10:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.470345901251214,266,1000000,71
1.0,2.0,3.0,14:10:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.91757500694316,1131,1000000,1279
1.0,2.0,3.0,14:10:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.556009040750652,1134,1000000,1290
1.0,2.0,3.0,14:10:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-35.51113024394243,67,1000000,4
1.0,2.0,3.0,14:10:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-39.72335479864432,1753,949218,3241
1.0,2.0,3.0,14:10:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-31.850029026832644,1753,949218,3241
1.0,2.0,3.0,14:10:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.002508679100885,1753,949218,3241
1.0,2.0,3.0,14:10:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.374602420278684,95,1000000,8
1.0,2.0,3.0,14:10:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.35921669440625,95,1000000,8
1.0,2.0,3.0,14:10:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.889970041477973,1212,1000000,1468
1.0,2.0,3.0,14:10:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-29.51416242477862,1223,1000000,1483
1.0,2.0,3.0,14:10:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.266072090245395,1224,1000000,1495
1.0,2.0,3.0,14:10:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.266027618834478,1315,1000000,1731
1.0,2.0,3.0,14:10:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.993486148199878,586,1000000,330
1.0,2.0,3.0,14:10:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-29.632483318378803,582,1000000,338
1.0,2.0,3.0,14:10:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.72511329586584,559,1000000,313
1.0,2.0,3.0,14:10:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-29.188398150522623,559,1000000,313
1.0,2.0,3.0,14:10:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.62744707765396,421,1000000,176
1.0,2.0,3.0,14:10:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.020891524362163,1262,1000000,1582
1.0,2.0,3.0,14:10:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.92049148585503,627,1000000,395
1.0,2.0,3.0,14:10:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.567336501304148,631,1000000,395
1.0,2.0,3.0,14:10:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.0254309977335,1336,1000000,1787
1.0,2.0,3.0,14:10:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.159756477449122,1336,1000000,1787
1.0,2.0,3.0,14:10:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.556244243852085,966,1000000,933
1.0,2.0,3.0,14:10:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.135017017183305,49,1000000,2
1.0,2.0,3.0,14:10:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.51075785290712,301,1000000,93
1.0,2.0,3.0,14:10:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.554990548546797,301,1000000,91
1.0,2.0,3.0,14:10:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.613765171014098,1537,1000000,2362
1.0,2.0,3.0,14:10:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.908091003935702,741,1000000,547
1.0,2.0,3.0,14:10:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.269127822607018,738,1000000,549
